"X","MGHBC11_1","MGHBC11_cip","MGHBC11_levo","MGHBC12_1","MGHBC12_cip","MGHBC12_levo","MGHBC13_1","MGHBC13_cip","MGHBC13_levo","MGHBC14_1","MGHBC14_cip","MGHBC14_levo","MGHBC16_1","MGHBC16_cip","MGHBC16_levo","MGHBC17ec_1","MGHBC17ec_cip","MGHBC17ec_levo","MGHBC18_1","MGHBC18_cip","MGHBC18_levo","MGHBC21_1","MGHBC21_cip","MGHBC21_levo","MGHBC27_1","MGHBC27_cip","MGHBC27_levo","MGHBC28_1","MGHBC28_cip","MGHBC28_levo","MGHBC33_1","MGHBC33_cip","MGHBC33_levo","MGHBC38_1","MGHBC38_cip","MGHBC38_levo","MGHBC41_1","MGHBC41_cip","MGHBC41_levo","MGHBC44_1","MGHBC44_cip","MGHBC44_levo","MGHBC5_1","MGHBC5_cip","MGHBC5_levo","MGHBC51_1","MGHBC51_cip","MGHBC51_levo","MGHBC52_1","MGHBC52_cip","MGHBC52_levo","MGHBC53_1","MGHBC53_cip","MGHBC53_levo","MGHBC55_1","MGHBC55_cip","MGHBC55_levo","MGHBC56_1","MGHBC56_cip","MGHBC56_levo","MGHBC57_1","MGHBC57_cip","MGHBC57_levo","MGHBC58_1","MGHBC58_cip","MGHBC58_levo","MGHBC6_1","MGHBC6_cip","MGHBC6_levo","MGHBC60_1","MGHBC60_cip","MGHBC60_levo","MGHBC63_1","MGHBC63_cip","MGHBC63_levo","MGHBC64_1","MGHBC64_cip","MGHBC64_levo","MGHBC8_1","MGHBC8_cip","MGHBC8_levo"
"POS_A",26932,26944,"11938",33134,30603,"12413",24180,17996,"12171",39109,35197,"9747",19724,21097,"12466",11638,7977,"10889.00",19788,22109,"10938",14820,7364,"14128",22492,29620,"10842",22686,15243,"11379",14455,11596,"14773",22938,34678,"12814",18823,16975,"13435",20444,20821,"13471",21971,19260,"14596",9844,10996,"12614",16191,15957,"13519",16745,14561,"15248",11197,11519,"14820",11677,12703,"11993",11749,10985,"10375",12413,13448,"13846",15025,15204,"12934",10954,11612,"11431",12059,11644,"10829.00",11508,11709,"9661.00",21826,21610,"14718"
"POS_B",3441,2922,"3554",4041,3581,"3683",2821,2033,"3516",4886,4316,"2972",2153,2306,"3610",3252,2398,"3383.00",2658,2867,"3150",1854,965,"4123",2821,3645,"3164",2909,2051,"3309",1787,1394,"4451",2955,4311,"3832",2368,2144,"3763",2583,2450,"3747",6189,5381,"4338",2886,3140,"3563",4708,4691,"4090",5117,4302,"4510",3280,3383,"4278",3692,3956,"3498",3652,3496,"3361",3684,3869,"3965",2108,2054,"3767",3213,3376,"3278",3545,3381,"3440.00",3383,3297,"3040.00",2651,2502,"4282"
"POS_C",2039,1707,"1263",2491,2144,"1319",1755,1329,"1238",2975,2610,"1144",1333,1396,"1365",1242,904,"1269.00",2193,2355,"1123",1488,762,"1573",2423,2996,"1176",2359,1684,"1170",1463,1238,"1688",2602,3496,"1419",2023,1868,"1386",2113,2112,"1381",2448,1907,"1662",1083,1166,"1329",1737,1720,"1462",1745,1600,"1663",1204,1252,"1508",1406,1435,"1233",1353,1339,"1205",1412,1442,"1423",1329,1262,"1430",1159,1271,"1210",1229,1202,"1280.00",1241,1336,"1172.00",1603,1517,"1522"
"POS_D",221,206,"261",222,237,"274",201,195,"267",241,216,"216",145,156,"275",233,173,"270.00",150,179,"238",120,60,"291",206,253,"240",178,131,"224",118,113,"290",179,269,"280",139,120,"303",158,190,"298",499,446,"343",215,246,"290",398,347,"289",341,349,"325",264,274,"294",267,296,"270",325,303,"231",288,313,"293",117,124,"274",245,288,"255",300,244,"267.00",220,262,"223.00",134,164,"324"
"POS_E",64,67,"56",74,84,"51",65,41,"54",99,69,"44",42,55,"50",58,41,"54.00",56,66,"51",45,24,"74",78,77,"63",53,31,"42",44,27,"69",59,78,"65",52,48,"64",51,82,"67",105,99,"62",56,55,"63",88,82,"68",73,81,"64",49,62,"60",58,65,"53",68,59,"53",71,83,"73",47,44,"67",64,79,"66",57,42,"76.00",55,68,"50.00",51,55,"56"
"POS_F",38,67,"21",21,37,"18",65,98,"11",23,26,"17",33,29,"21",11,7,"7.00",69,95,"15",25,16,"18",74,76,"14",27,26,"13",42,40,"23",29,36,"16",27,52,"12",37,54,"22",27,24,"18",13,20,"10",21,21,"16",29,12,"15",8,12,"12",12,14,"14",14,24,"10",15,11,"17",16,23,"16",9,23,"13",22,19,"14.00",21,25,"9.00",14,21,"25"
"NEG_A",6,8,"5",3,1,"2",1,1,"1",1,3,"3",2,3,"1",5,3,"1.00",4,7,"2",9,3,"4",15,13,"3",5,3,"1",7,2,"1",7,3,"2",2,9,"3",3,16,"3",3,4,"2",2,5,"1",8,10,"3",2,4,"1",1,4,"2",1,7,"2",4,9,"1",1,1,"3",1,1,"4",7,2,"3",4,2,"1.00",1,8,"4.00",1,1,"2"
"NEG_B",8,6,"6",3,2,"5",7,4,"7",1,2,"6",6,4,"3",5,9,"1.00",5,7,"7",9,8,"10",10,10,"7",5,5,"8",15,5,"4",6,1,"2",9,8,"2",9,1,"7",4,9,"4",4,9,"5",7,8,"3",6,10,"1",5,3,"4",3,5,"2",5,5,"5",7,9,"3",7,5,"7",3,4,"4",3,3,"4.00",6,7,"5.00",5,4,"9"
"NEG_C",2,6,"6",3,3,"2",3,1,"4",1,3,"1",1,3,"6",3,7,"4.00",9,7,"5",7,5,"4",6,10,"8",5,7,"3",5,2,"2",9,1,"5",4,8,"4",6,25,"6",10,8,"5",6,5,"2",6,12,"4",6,6,"5",2,8,"8",7,5,"3",5,3,"3",6,8,"5",2,5,"12",4,3,"4",5,5,"1.00",4,16,"2.00",5,2,"3"
"NEG_D",1,2,"4",1,1,"1",1,1,"1",2,1,"1",1,1,"2",2,3,"1.00",7,4,"5",2,2,"2",1,5,"1",3,1,"2",1,3,"3",3,1,"3",2,3,"1",3,7,"5",4,1,"4",3,2,"1",2,2,"1",6,1,"1",2,1,"2",5,3,"4",2,3,"2",5,1,"2",2,2,"3",3,3,"1",2,5,"1.00",4,7,"1.00",2,1,"1"
