"","MGHBC4_5","MGHBC4_atm","MGHBC15_5","MGHBC15_atm","MGHBC19_5","MGHBC19_atm","MGHBC23_5","MGHBC23_atm","MGHBC25_5","MGHBC25_atm","MGHBC34_5","MGHBC34_atm","MGHBC35_5","MGHBC35_atm","MGHBC29_5","MGHBC29_atm","MGHBC32_5","MGHBC32_atm","MGHBC26_5","MGHBC26_atm","MGHBC47_5","MGHBC47_atm","MGHBC50_5","MGHBC50_atm","MGHBC48_5","MGHBC48_atm","MGHBC61_5","MGHBC61_atm","MGHBC62_5","MGHBC62_atm","MGHBC17kp_5","MGHBC17kp_atm"
"POS_A","77595","72986","74223.00","59558.00","58272","54053","53377","31362","44155","62543","44910.00","41303.00","58576.00","53752.00","83560.00","80678.00","84833","19557","80613","61802","72878.00","75327.00","44267.00","49134.00","50027.00","51300.00","54153.00","46414.00","39417.00","63235.00","56834.00","49053.00"
"POS_B","9536","9120","8663.00","6948.00","7626","6907","7049","4182","14528","7921","5795.00","5406.00","7634.00","7074.00","11131.00","10777.00","11067","2553","10671","8485","10137.00","10695.00","13106.00","14528.00","14918.00","15530.00","16089.00","14103.00","12883.00","18797.00","17209.00","15023.00"
"POS_C","5057","4692","4457.00","3728.00","5357","4933","4790","2844","4707","5582","4075.00","3781.00","5319.00","4584.00","7456.00","7211.00","7883","1742","7676","5975","7105.00","7486.00","4065.00","4568.00","4664.00","4720.00","4920.00","4238.00","4026.00","5734.00","5307.00","4647.00"
"POS_D","513","478","458.00","358.00","465","397","424","240","935","436","337.00","301.00","440.00","391.00","568.00","605.00","601","142","601","488","525.00","571.00","932.00","1015.00","1014.00","1082.00","1090.00","906.00","824.00","1269.00","1088.00","897.00"
"POS_E","189","170","180.00","154.00","152","130","124","75","252","189","157.00","126.00","146.00","148.00","203.00","193.00","214","42","216","155","191.00","184.00","222.00","235.00","261.00","232.00","260.00","188.00","211.00","283.00","291.00","239.00"
"POS_F","70","62","62.00","47.00","65","64","75","47","62","87","80.00","59.00","105.00","102.00","92.00","96.00","100","19","97","84","79.00","88.00","64.00","72.00","79.00","85.00","71.00","54.00","52.00","66.00","61.00","63.00"
"NEG_A","1","1","3.00","2.00","2","1","3","1","17","23","34.00","22.00","11.00","4.00","2.00","1.00","1","1","1","2","4.00","2.00","2.00","3.00","2.00","7.00","3.00","1.00","2.00","2.00","3.00","1.00"
"NEG_B","3","5","4.00","6.00","5","4","4","2","7","7","9.00","5.00","5.00","12.00","9.00","2.00","4","2","7","5","5.00","5.00","5.00","4.00","14.00","19.00","5.00","2.00","3.00","6.00","4.00","3.00"
"NEG_C","9","4","5.00","1.00","10","1","6","3","4","8","6.00","9.00","13.00","13.00","7.00","10.00","8","1","7","2","6.00","5.00","11.00","6.00","16.00","23.00","10.00","5.00","7.00","7.00","5.00","2.00"
"NEG_D","8","2","1.00","1.00","4","1","2","1","5","5","11.00","8.00","11.00","13.00","5.00","4.00","6","2","6","2","7.00","2.00","9.00","3.00","13.00","11.00","1.00","2.00","4.00","3.00","3.00","3.00"
